make,model,variant,model_variant
BMW,5 Series,530d M Sport [2013-2017],5 Series Sport Line
BMW,5 Series,530d M Sport [2017-2019],5 Series Sport Line
BMW,5 Series,530i M Sport,5 Series Sport Line
BMW,5 Series,530i M Sport [2019-2019],5 Series Sport Line
BMW,5 Series,530i Sport Line,5 Series Sport Line
BMW,5 Series GT,530d,5 Series GT Sport Line
BMW,6 Series GT,620d Luxury Line,6 Series GT Luxury Line
BMW,6 Series GT,620d Luxury Line [2019-2019],6 Series GT Luxury Line
BMW,6 Series GT,630d M Sport [2018-2019],6 Series GT Sport Line
BMW,6 Series GT,630i M Sport Signature,6 Series GT Sport Line
BMW,6 Series GT,630i M Sport [2021-2023],6 Series GT Sport Line
BMW,6 Series Gran Coupe,640d Gran Coupe,6 Series Gran Coupe 640d Gran
BMW,7 Series,730Ld,7 Series Sedan
BMW,7 Series,730Ld DPE Signature,7 Series Signature
BMW,7 Series,730Ld M Sport,7 Series Sport Line
BMW,7 Series,730Ld Sedan,7 Series Sedan
BMW,7 Series,730d Sedan,7 Series Sedan
BMW,7 Series,740Li DPE Signature,7 Series Signature
BMW,7 Series,740i [2023],7 Series 740i [2023]
BMW,M4 Competition,M xDrive Coupe [2022-2023],M4 Competition xDrive
BMW,M5,Competition,M5 Competition
BMW,X1,sDrive18d M Sport,X1 sDrive
BMW,X1,sDrive20d Expedition,X1 sDrive
BMW,X1,sDrive20d M Sport,X1 sDrive
BMW,X1,sDrive20d xLine,X1 sDrive
BMW,X1,sDrive20i Tech Edition,X1 sDrive
BMW,X1,sDrive20i xLine,X1 sDrive
BMW,X1,xDrive20d M Sport,X1 xDrive
BMW,X1,xDrive20d xLine,X1 xDrive
BMW,X3,xDrive 20d Expedition,X3 xDrive
BMW,X3,xDrive 20d Luxury Line [2018-2020],X3 xDrive
BMW,X3,xDrive 30d M Sport [2015-2017],X3 xDrive
BMW,X3,xDrive 30i Luxury Line,X3 xDrive
BMW,X3,xDrive-20d xLine,X3 xDrive
BMW,X3,xDrive20d,X3 xDrive
BMW,X3,xDrive20d Luxury Edition [2022-2023],X3 xDrive
BMW,X4,xDrive20d M Sport X [2019-2020],X4 xDrive
BMW,X5,SAV 3.0d,X5 SAV 3.0d
BMW,X5,xDrive 30d,X5 xDrive
BMW,X5,xDrive 30d Expedition,X5 xDrive
BMW,X5,xDrive 30d M Sport,X5 xDrive
BMW,X5,xDrive30d Pure Experience (7 Seater),X5 xDrive
BMW,X5,xDrive30d xLine,X5 xDrive
BMW,X5,xDrive40i M Sport,X5 xDrive
BMW,X5,xDrive40i M Sport [2019-2019],X5 xDrive
BMW,X6,xDrive 40d,X6 xDrive
BMW,X6,xDrive40i M Sport [2020-2023],X6 xDrive
BMW,X7,xDrive 40i [2019-2019],X7 xDrive
BMW,X7,xDrive30d DPE Signature 7STR,X7 xDrive
BMW,X7,xDrive30d DPE Signature [2019-2020],X7 xDrive
BMW,X7,xDrive40d M Sport,X7 xDrive
BMW,X7,xDrive40d M Sport [2023],X7 xDrive
BMW,XM,Plug-in Hybrid,XM Plug-in Hybrid
BMW,Z4,sDrive 20i [2019-2023],Z4 sDrive
BMW,iX,xDrive 40,iX xDrive
BYD,Atto 3,Extended Range,Atto 3 Extended Range
Chevrolet,Beat,LS Diesel,Beat LS Diesel
Chevrolet,Beat,LS Petrol,Beat LS Petrol
Chevrolet,Cruze,LTZ,Cruze LTZ
Chevrolet,Cruze,LTZ AT,Cruze LTZ
Chevrolet,Enjoy,1.4 LT 7 STR,Enjoy 1.4 LT
Chevrolet,Sail,1.2 Base,Sail 1.2 Base
Chevrolet,Tavera,Neo 3-10 STR BS-III,Tavera Neo 3-10
Citroen,C3,Feel 1.2 Turbo Vibe Pack Dual Tone [2022],C3 Feel 1.2
Citroen,C5 Aircross,Feel,C5 Aircross Feel
Citroen,C5 Aircross,Shine Dual Tone,C5 Aircross Shine Dual
Citroen,eC3,Feel,eC3 Feel
Datsun,GO+,T [2018-2019],GO+ T
Datsun,GO+,T(O) [2018-2019],GO+ T
Datsun,Go,ANNIVERSARY EDITION,Go Anniversary Edition
Datsun,Go,T,Go T
Datsun,Go,T (O),Go T
Datsun,Go,T CVT,Go T
Datsun,Go,T [2018-2019],Go T
Datsun,Go,T(O),Go T
Datsun,Go Plus,A(O),Go Plus A
Datsun,Go Plus,Anniversary Edition,Go Plus Anniversary Edition
Datsun,Go Plus,T,Go Plus T
Datsun,Go Plus,T (O),Go Plus T
Datsun,Go Plus,T(O),Go Plus T
Datsun,Redi Go,1.0 T(O) AT,Redi Go T
Datsun,Redi Go,A,Redi Go A
Datsun,Redi Go,S 1.0,Redi Go S
Datsun,Redi Go,S 1.0 AMT,Redi Go S
Datsun,Redi Go,SPORT,Redi Go SPORT
Datsun,Redi Go,T,Redi Go T
Datsun,Redi Go,T (O),Redi Go T
Datsun,Redi Go,T(O),Redi Go T
Datsun,Redi Go,T(O) 1.0,Redi Go T
Datsun,Redi Go,T(O) 1.0 AMT,Redi Go T
Datsun,Redi Go,T(O) 1.0L LIMITED EDITION,Redi Go T
Datsun,redi-GO,A,redi-GO A
Datsun,redi-GO,S 1.0,redi-GO S
Datsun,redi-GO,S 1.0 AMT [2018-2019],redi-GO S
Datsun,redi-GO,S [2016-2019],redi-GO S
Datsun,redi-GO,T (O) [2016-2019],redi-GO T
Datsun,redi-GO,T(O) 1.0,redi-GO T
Datsun,redi-GO,T(O) 1.0 AMT [2018-2019],redi-GO T
Datsun,redi-GO,T(O) 1.0 [2017-2019],redi-GO T
Fiat,Linea,Dynamic 1.4,Linea Dynamic 1.4
Fiat,Punto,Dynamic 1.3,Punto Dynamic 1.3
Fiat,Punto,Dynamic 1.4,Punto Dynamic 1.4
Fiat,Punto Evo,Active Multijet 1.3 [2014-2016],Punto Evo Active Multijet
Force Motors,Gurkha,4X4 [2021-2023],Gurkha 4X4 [2021-2023]
Force Motors,Gurkha,Soft Top 4X4,Gurkha Soft Top
Ford,Endeavour,3.0L 4x4 AT,Endeavour 4x4
Ford,Figo,Ambiente 1.2 Ti-VCT,Figo Ambiente
Ford,EcoSport,Ambiente 1.5 TDCi,EcoSport Ambiente
Ford,EcoSport,AMBIENTE 1.5L DIESEL,EcoSport Ambiente
Ford,EcoSport,AMBIENTE 1.5L PETROL,EcoSport Ambiente
Ford,EcoSport,Ambiente 1.5L Ti-VCT,EcoSport Ambiente
Ford,Figo,Duratec Petrol ZXI 1.2,Figo Duratec Petrol
Ford,Figo,Duratorq Diesel LXI 1.4,Figo Duratorq Diesel
Ford,Figo,Duratorq Diesel ZXI 1.4,Figo Duratorq Diesel
Ford,Freestyle,FLAIR EDITION 1.2 PETROL,Freestyle FLAIR EDITION
Ford,Mustang,GT Fastback 5.0L v8,Mustang GT Fastback
Ford,Fiesta,SXi 1.6,Fiesta SX
Ford,EcoSport,TITANIUM + 1.5L DIESEL,EcoSport Titanium
Ford,EcoSport,TITANIUM + 1.5L PETROL,EcoSport Titanium
Ford,EcoSport,TITANIUM + 1.5L PETROL AT,EcoSport Titanium
Ford,EcoSport,Titanium + 1.5L TDCi,EcoSport Titanium
Ford,EcoSport,Titanium + 1.5L TDCi [2019-2020],EcoSport Titanium
Ford,EcoSport,Titanium + 1.5L Ti-VCT,EcoSport Titanium
Ford,EcoSport,Titanium + 1.5L Ti-VCT AT,EcoSport Titanium
Ford,EcoSport,Titanium + 1.5L Ti-VCT AT [2019-2020],EcoSport Titanium
Ford,EcoSport,Titanium 1.0 Ecoboost,EcoSport Titanium
Ford,EcoSport,TITANIUM 1.0L ECOBOOST (OPT),EcoSport Titanium
Ford,EcoSport,TITANIUM 1.0L ECOBOOST SPORTS(SUNROOF),EcoSport Titanium
Ford,Freestyle,TITANIUM 1.2 PETROL,Freestyle Titanium
Ford,Freestyle,Titanium 1.2 Ti-VCT [2018-2020],Freestyle Titanium
Ford,Freestyle,TITANIUM 1.5 DIESEL,Freestyle Titanium
Ford,EcoSport,TITANIUM 1.5 SPORTS(SUNROOF) PETROL,EcoSport Titanium
Ford,EcoSport,Titanium 1.5 TDCi,EcoSport Titanium
Ford,EcoSport,Titanium 1.5 TDCi (Opt),EcoSport Titanium
Ford,Freestyle,Titanium 1.5 TDCi [2018-2020],Freestyle Titanium
Ford,EcoSport,Titanium 1.5 Ti-VCT,EcoSport Titanium
Ford,EcoSport,TITANIUM 1.5L DIESEL,EcoSport Titanium
Ford,EcoSport,TITANIUM 1.5L PETROL,EcoSport Titanium
Ford,EcoSport,TITANIUM 1.5L PETROL AT,EcoSport Titanium
Ford,EcoSport,TITANIUM 1.5L SIGNATURE EDITION (SUNROOF) DIESEL,EcoSport Titanium
Ford,EcoSport,TITANIUM 1.5L SIGNATURE EDITION (SUNROOF) PETROL,EcoSport Titanium
Ford,EcoSport,Titanium 1.5L TDCi,EcoSport Titanium
Ford,EcoSport,Titanium 1.5L TDCi [2019-2020],EcoSport Titanium
Ford,EcoSport,Titanium 1.5L TDCi Black Edition,EcoSport Titanium
Ford,EcoSport,TITANIUM 1.5L THUNDER EDTION DIESEL,EcoSport Titanium
Ford,EcoSport,Titanium 1.5L Ti-VCT,EcoSport Titanium
Ford,EcoSport,Titanium 1.5L Ti-VCT AT,EcoSport Titanium
Ford,Endeavour,Titanium 3.2 4x4 AT,Endeavour Titanium
Ford,Freestyle,TITANIUM PLUS 1.2 PETROL,Freestyle Titanium
Ford,New Figo,TITANIUM PLUS 1.2 PETROL AT,New Figo Titanium
Ford,Freestyle,Titanium Plus 1.2 Ti-VCT [2018-2020],Freestyle Titanium
Ford,Freestyle,TITANIUM PLUS 1.5 DIESEL,Freestyle Titanium
Ford,Endeavour,Titanium Plus 2.0 4x2 AT,Endeavour Titanium
Ford,Endeavour,Titanium Plus 2.0 4x4 AT,Endeavour Titanium
Ford,Endeavour,Titanium Plus 3.2 4x4 AT,Endeavour Titanium
Ford,EcoSport,TITANIUM+ 1.0L ECOBOOST,EcoSport Titanium
Ford,EcoSport,TITANIUM+ 1.5L DIESEL,EcoSport Titanium
Ford,EcoSport,Titanium+ 1.5L TDCi,EcoSport Titanium
Ford,EcoSport,Titanium+ 1.5L TDCi Black Edition,EcoSport Titanium
Ford,Aspire,Titanium1.5 TDCi,Aspire Titanium
Ford,EcoSport,TREND + 1.5L PETROL,EcoSport Trend
Ford,EcoSport,TREND + 1.5L PETROL AT,EcoSport Trend
Ford,EcoSport,Trend + 1.5L TDCi,EcoSport Trend
Ford,EcoSport,Trend + 1.5L Ti-VCT AT,EcoSport Trend
Ford,Freestyle,TREND 1.2 PETROL,Freestyle Trend
Ford,Figo,Trend 1.2 Ti-VCT [2015-2016],Figo Trend
Ford,Freestyle,Trend 1.2 Ti-VCT [2018-2019],Freestyle Trend
Ford,EcoSport,Trend 1.5 Ti-VCT,EcoSport Trend
Ford,EcoSport,TREND 1.5L DIESEL,EcoSport Trend
Ford,EcoSport,TREND 1.5L PETROL,EcoSport Trend
Ford,EcoSport,Trend 1.5L TDCi,EcoSport Trend
Ford,Figo,Trend 1.5L TDCi [2015-2016],Figo Trend
Ford,EcoSport,Trend 1.5L Ti-VCT,EcoSport Trend
Ford,Endeavour,Trend 2.2 4x2 AT,Endeavour Trend
Ford,Endeavour,Trend 3.2 4x4 AT,Endeavour Trend
Ford,Freestyle,TREND PLUS 1.2 PETROL,Freestyle Trend
Ford,EcoSport,TREND+ 1.0L ECOBOOST,EcoSport Trend
Ford,EcoSport,Trend+ 1.0L EcoBoost,EcoSport Trend
Ford,EcoSport,TREND+ 1.5L DIESEL,EcoSport Trend
Ford,EcoSport,Trend+ 1.5L TDCi,EcoSport Trend
Honda,Accord,2.4 AT,Accord Base
Honda,All New City,V CVT Petrol,All New City V
Honda,All New City,V Petrol,All New City V
Honda,All New City,ZX CVT Petrol,All New City ZX
Honda,All New City,ZX Petrol,All New City ZX
Honda,Amaze,1.2 E i-VTEC,Amaze E
Honda,Amaze,1.2 S AT i-VTEC,Amaze S
Honda,Amaze,1.2 S CVT Petrol [2018-2020],Amaze S
Honda,Amaze,1.2 S MT Petrol [2018-2020],Amaze S
Honda,Amaze,1.2 S i-VTEC,Amaze S
Honda,Amaze,1.2 SX i-VTEC,Amaze SX
Honda,Amaze,1.2 V CVT Petrol [2018-2020],Amaze V
Honda,Amaze,1.2 V MT Petrol [2018-2020],Amaze V
Honda,Amaze,1.2 VX CVT Petrol [2019-2020],Amaze VX
Honda,Amaze,1.2 VX MT Petrol [2018-2020],Amaze VX
Honda,Amaze,1.2 VX i-VTEC,Amaze VX
Honda,Amaze,1.2L I-VTEC E,Amaze E
Honda,Amaze,1.2L I-VTEC EX,Amaze EX
Honda,Amaze,1.2L I-VTEC S,Amaze S
Honda,Amaze,1.2L I-VTEC S AT,Amaze S
Honda,Amaze,1.2L I-VTEC S CVT,Amaze S
Honda,Amaze,1.2L I-VTEC S OPT,Amaze S
Honda,Amaze,1.2L I-VTEC SX,Amaze SX
Honda,Amaze,1.2L I-VTEC V,Amaze V
Honda,Amaze,1.2L I-VTEC V CVT,Amaze V
Honda,Amaze,1.2L I-VTEC VX,Amaze VX
Honda,Amaze,1.2L I-VTEC VX AT,Amaze VX
Honda,Amaze,1.2L I-VTEC VX CVT,Amaze VX
Honda,Amaze,1.5 E i-DTEC,Amaze E
Honda,Amaze,1.5 EX i-DTEC,Amaze EX
Honda,Amaze,1.5 S CVT Diesel [2018-2020],Amaze S
Honda,Amaze,1.5 S i-DTEC,Amaze S
Honda,Amaze,1.5 SX i-DTEC,Amaze SX
Honda,Amaze,1.5 V CVT Diesel,Amaze V
Honda,Amaze,1.5 VX i-DTEC,Amaze VX
Honda,Amaze,1.5L I-DTEC E,Amaze E
Honda,Amaze,1.5L I-DTEC EX,Amaze EX
Honda,Amaze,1.5L I-DTEC S,Amaze S
Honda,Amaze,1.5L I-DTEC S CVT,Amaze S
Honda,Amaze,1.5L I-DTEC S OPT,Amaze S
Honda,Amaze,1.5L I-DTEC V,Amaze V
Honda,Amaze,1.5L I-DTEC V CVT,Amaze V
Honda,Amaze,1.5L I-DTEC VX,Amaze VX
Honda,Amaze,VX CVT 1.2 Petrol [2021],Amaze VX
Honda,BR-V,1.5L I- DTEC VX,BR-V VX
Honda,BR-V,1.5L I-VTEC S,BR-V S
Honda,BR-V,1.5L I-VTEC V,BR-V V
Honda,BR-V,1.5L I-VTEC V CVT,BR-V V
Honda,BR-V,1.5L I-VTEC VX,BR-V VX
Honda,Brio,E MT,Brio E MT
Honda,Brio,EX MT,Brio EX
Honda,Brio,S (O)MT,Brio S
Honda,Brio,S MT,Brio S
Honda,Brio,S(O) MT,Brio S
Honda,Brio,S(O)MT,Brio S
Honda,Brio,V MT,Brio V
Honda,Brio,VX AT,Brio VX
Honda,Brio,VX MT,Brio VX
Honda,CR-V,2.0L 2WD AT,CR-V 2WD
Honda,City,1.5 E MT,City E
Honda,City,1.5 S AT,City S
Honda,City,1.5 S MT,City S
Honda,City,1.5 V MT,City V
Honda,City,1.5L I-DTEC E,City E
Honda,City,1.5L I-DTEC SV,City SV
Honda,City,1.5L I-DTEC V,City V
Honda,City,1.5L I-DTEC ZX,City ZX
Honda,City,1.5L I-VTE V CVT,City V
Honda,City,1.5L I-VTEC CORPORATE MT,City Corporate
Honda,City,1.5L I-VTEC E MT,City E
Honda,City,1.5L I-VTEC S AT,City S
Honda,City,1.5L I-VTEC S MT,City S
Honda,City,1.5L I-VTEC SV,City SV
Honda,City,1.5L I-VTEC SV CVT,City SV
Honda,City,1.5L I-VTEC SV EDGE EDITION,City SV
Honda,City,1.5L I-VTEC V AT,City V
Honda,City,1.5L I-VTEC V MT,City V
Honda,City,1.5L I-VTEC V MT 4TH GEN,City V
Honda,City,1.5L I-VTEC V MT 5TH GEN,City V
Honda,City,1.5L I-VTEC V MT SUNROOF,City V
Honda,City,1.5L I-VTEC VX,City VX
Honda,City,1.5L I-VTEC VX CVT,City VX
Honda,City,1.5L I-VTEC ZX,City ZX
Honda,City,1.5L I-VTEC ZX CVT,City ZX
Honda,City,E Diesel,City E Diesel
Honda,City,E [2013-2016],City E
Honda,City,S,City S
Honda,City,S Diesel,City S
Honda,City,SV,City SV
Honda,City,SV CVT,City SV
Honda,City,SV Diesel,City SV
Honda,City,V,City V
Honda,City,V Diesel,City V
Honda,City,VX,City VX
Honda,City,VX (O) MT,City VX
Honda,City,VX (O) MT Diesel,City VX
Honda,City,VX CVT,City VX
Honda,City,VX Diesel,City VX
Honda,City,ZX Petrol CVT,City ZX
Honda,City 4th Generation,Anniversary Edition Diesel,City 4th Generation Anniversary Edition
Honda,City 4th Generation,SV Petrol [2017-2019],City 4th Generation SV
Honda,City 4th Generation,SV Petrol [2019-2020],City 4th Generation SV
Honda,City 4th Generation,V CVT Petrol [2017-2019],City 4th Generation V
Honda,City 4th Generation,V Petrol,City 4th Generation V
Honda,City 4th Generation,V Petrol [2017-2019],City 4th Generation V
Honda,City 4th Generation,V Petrol [2019-2020],City 4th Generation V
Honda,City 4th Generation,VX CVT Petrol,City 4th Generation VX
Honda,City 4th Generation,VX CVT Petrol [2017-2019],City 4th Generation VX
Honda,City 4th Generation,VX Petrol,City 4th Generation VX
Honda,City 4th Generation,VX Petrol [2017-2019],City 4th Generation VX
Honda,City 4th Generation,ZX CVT Petrol,City 4th Generation ZX
Honda,City 4th Generation,ZX CVT Petrol [2017-2019],City 4th Generation ZX
Honda,City 4th Generation,ZX Petrol,City 4th Generation ZX
Honda,City 4th Generation,ZX Petrol [2019-2019],City 4th Generation ZX
Honda,City Hybrid eHEV,ZX eHEV,City Hybrid eHEV ZX
Honda,City ZX,GXi,City ZX ZX
Honda,Civic,1.6L I-DTEC ZX MT,Civic ZX
Honda,Civic,1.8E MT,Civic E
Honda,Civic,1.8L I-VTEC V CVT,Civic V
Honda,Civic,1.8L I-VTEC ZX CVT,Civic ZX
Honda,Civic,1.8V AT,Civic V
Honda,Civic,1.8V MT Sunroof,Civic V
Honda,Civic,VX CVT Petrol [2019-2020],Civic VX
Honda,Civic,VX Diesel [2019-2020],Civic VX
Honda,Civic,ZX CVT Petrol [2019-2020],Civic ZX
Honda,Jazz,1.2 L I-VTEC SELECT,Jazz Select Edition
Honda,Jazz,1.2L I-VTEC BASE,Jazz Base
Honda,Jazz,1.2L I-VTEC E,Jazz E
Honda,Jazz,1.2L I-VTEC S,Jazz S
Honda,Jazz,1.2L I-VTEC S AT,Jazz S
Honda,Jazz,1.2L I-VTEC SV,Jazz SV
Honda,Jazz,1.2L I-VTEC V,Jazz V
Honda,Jazz,1.2L I-VTEC V AT,Jazz V
Honda,Jazz,1.2L I-VTEC V CVT,Jazz V
Honda,Jazz,1.2L I-VTEC VX,Jazz VX
Honda,Jazz,1.2L I-VTEC VX AT,Jazz VX
Honda,Jazz,1.2L I-VTEC VX CVT,Jazz VX
Honda,Jazz,1.2L I-VTEC VX EXCLUSIVE EDITION CVT,Jazz VX
Honda,Jazz,1.2L I-VTEC X,Jazz X
Honda,Jazz,1.2L I-VTEC ZX,Jazz ZX
Honda,Jazz,1.2L I-VTEC ZX CVT,Jazz ZX
Honda,Jazz,1.5L I-DTEC VX,Jazz VX
Honda,Jazz,Base Old,Jazz Base
Honda,Jazz,S AT [2015-2016],Jazz S
Honda,Jazz,S Diesel,Jazz S
Honda,Jazz,S MT [2015-2016],Jazz S
Honda,Jazz,S Petrol,Jazz S
Honda,Jazz,SV Petrol,Jazz SV
Honda,Jazz,Select Edition Old,Jazz Select Edition
Honda,Jazz,V AT Petrol,Jazz V
Honda,Jazz,V CVT Petrol,Jazz V
Honda,Jazz,V Petrol,Jazz V
Honda,Jazz,VX CVT Petrol,Jazz VX
Honda,Jazz,VX Diesel,Jazz VX
Honda,Jazz,VX Petrol,Jazz VX
Honda,Jazz,X,Jazz X
Honda,Jazz,X Old,Jazz X
Honda,Jazz,ZX,Jazz ZX
Honda,Jazz,ZX CVT,Jazz ZX
Honda,Mobilio,S Petrol,Mobilio S
Honda,WR-V,1.2L I-VTEC EDGE EDITION,WR-V Edge Edition
Honda,WR-V,1.2L I-VTEC S MT,WR-V S
Honda,WR-V,1.2L I-VTEC SV MT,WR-V SV
Honda,WR-V,1.2L I-VTEC VX MT,WR-V VX
Honda,WR-V,1.5L I-DTEC SV MT,WR-V SV
Honda,WR-V,1.5L I-DTEC VX MT,WR-V VX
Honda,WR-V,Edge Edition Petrol [2018-2019],WR-V Edge Edition
Honda,WR-V,Exclusive Edition Petrol,WR-V 
Honda,WR-V,S MT Petrol,WR-V S
Honda,WR-V,SV MT Petrol,WR-V SV
Honda,WR-V,VX MT Diesel,WR-V VX
Honda,WR-V,VX MT Petrol,WR-V VX
Hyundai,Genesis,3.8,Genesis 
Hyundai,Eon,1.0 Kappa Magna (O) AirBag,Eon Magna
Hyundai,Eon,1.0 Kappa Magna + [2014-2016],Eon Magna
Hyundai,Getz Prime,1.1 GVS,Getz Prime 
Hyundai,i10,1.1L iRDE ERA Special Edition,i10 ERA
Hyundai,i10,1.1L iRDE Magna Special Edition,i10 Magna
Hyundai,i20 Active,1.2 Base,i20 Active Base
Hyundai,i20 Active,1.2 S,i20 Active S
Hyundai,Creta,1.4 Base [2015-2016],Creta Base
Hyundai,Verna,1.4 EX PETROL,Verna EX
Hyundai,Creta,1.4 S,Creta S
Hyundai,Creta,1.4 S Plus,Creta S
Hyundai,Verna,1.4 VTVT,Verna Base
Hyundai,Alcazar,1.5 SIGNATURE (O) AT 6STR,Alcazar Signature
Hyundai,Creta,1.6 Base Petrol,Creta Base
Hyundai,Creta,1.6 E Petrol,Creta E
Hyundai,Verna,1.6 EX CRDI,Verna EX
Hyundai,Creta,1.6 S Petrol,Creta S
Hyundai,Verna,1.6 VTVT S,Verna S
Hyundai,Verna,1.6 VTVT S AT,Verna S
Hyundai,New Elantra,2.0 S PETROL,New Elantra S
