srno,make,model,variant,n,new_variant,FORMULA,Column1,,,2158,1095,871
68,Audi,Q5,Premium Plus 45 TFSI,1,TFSI,Premium Plus,Premium Plus,,,,,
69,Audi,Q5,Technology 45 TFSI,2,TFSI,Technology 45,Technology 45,,,,,
70,Audi,Q7,3.0 TDI quattro Premium Plus,1,TDI,3.0 TDI,3.0 TDI,,,,,
71,Audi,Q7,3.6 FSI quattro,1,TFSI,3.6 FSI,3.6 FSI,,,,,
72,Audi,Q7,35 TDI Premium + Sunroof,2,TDI,35 TDI,35 TDI,,,,,
73,Audi,Q7,35 TDI Premium Plus + Sunroof,1,TDI,35 TDI,35 TDI,,,,,
74,Audi,Q7,35 TDI Technology Pack + Sunroof,1,TDI,35 TDI,35 TDI,,,,,
75,Audi,Q7,45 TDI Premium Plus,1,TDI,45 TDI,45 TDI,,,,,
76,Audi,Q7,45 TDI Technology Pack,8,TDI,45 TDI,45 TDI,,,,,
77,Audi,Q7,Premium Plus 55 TFSI,1,TFSI,Premium Plus,Premium Plus,,,,,
78,Audi,Q8,55 TFSI quattro,3,TFSI,55 TFSI,55 TFSI,,,,,
79,Audi,S5 Sportback,3.0 TFSI Quattro,1,TFSI,3.0 TFSI,3.0 TFSI,,,,,
80,Audi,e-tron,55,4,TFSI,55,,,,,,
81,BMW,2 Series Gran Coupe,220d Sportline,1,Sport,220d Sportline,220d Sportline,,,,,
82,BMW,3 Series,320d,2,,320d,320d,,,,,
83,BMW,3 Series,320d Edition Sport,1,Sport,320d Edition,320d Edition,,,,,
84,BMW,3 Series,320d Highline Sedan,1,Sedan,320d Highline,320d Highline,,,,,
85,BMW,3 Series,320d Luxury Line,10,Luxury,320d Luxury,320d Luxury,,,,,
86,BMW,3 Series,320d Prestige,5,,320d Prestige,320d Prestige,,,,,
87,BMW,3 Series,320d Sport Line,4,Sport,320d Sport,320d Sport,,,,,
88,BMW,3 Series,320d Sport Line [2016-2018],3,Sport,320d Sport,320d Sport,,,,,
89,BMW,3 Series,330i M Sport Edition,1,Sport,330i M,330i M,,,,,
90,BMW,3 Series GT,320d Luxury Line,4,Luxury,320d Luxury,320d Luxury,,,,,
91,BMW,3 Series GT,320d Luxury Line [2014-2016],17,Luxury,320d Luxury,320d Luxury,,,,,
92,BMW,3 Series Gran Limousine,320Ld Luxury Line,4,Luxury,320Ld Luxury,320Ld Luxury,,,,,
93,BMW,3 Series Gran Limousine,330Li M Sport First Edition,4,Sport,330Li M,330Li M,,,,,
94,BMW,3 Series Gran Limousine,330Li M Sport [2023],1,Sport,330Li M,330Li M,,,,,
95,BMW,5 Series,520d Luxury Line,8,Luxury,520d Luxury,520d Luxury,,,,,
96,BMW,5 Series,520d Luxury Line [2017-2019],20,Luxury,520d Luxury,520d Luxury,,,,,
97,BMW,5 Series,520d M Sport,1,Sport,520d M,520d M,,,,,
98,BMW,5 Series,520d Modern Line,1,Sport,520d Modern,520d Modern,,,,,
99,BMW,5 Series,520d Sedan,11,Sedan,520d Sedan,520d Sedan,,,,,
100,BMW,5 Series,520d Sport Line,1,Sport,520d Sport,520d Sport,,,,,
101,BMW,5 Series,525d Sedan,2,Sedan,525d Sedan,525d Sedan,,,,,
102,BMW,5 Series,530d M Sport [2013-2017],6,Sport,530d M,530d M,,,,,
103,BMW,5 Series,530d M Sport [2017-2019],1,Sport,530d M,530d M,,,,,
104,BMW,5 Series,530i M Sport,1,Sport,530i M,530i M,,,,,
105,BMW,5 Series,530i M Sport [2019-2019],2,Sport,530i M,530i M,,,,,
106,BMW,5 Series,530i Sport Line,1,Sport,530i Sport,530i Sport,,,,,
107,BMW,5 Series GT,530d,1,Sport,530d,530d,,,,,
108,BMW,6 Series GT,620d Luxury Line,1,Luxury,620d Luxury,620d Luxury,,,,,
109,BMW,6 Series GT,620d Luxury Line [2019-2019],6,Luxury,620d Luxury,620d Luxury,,,,,
110,BMW,6 Series GT,630d M Sport [2018-2019],2,Sport,630d M,630d M,,,,,
111,BMW,6 Series GT,630i M Sport Signature,1,Sport,630i M,630i M,,,,,
112,BMW,6 Series GT,630i M Sport [2021-2023],1,Sport,630i M,630i M,,,,,
113,BMW,6 Series Gran Coupe,640d Gran Coupe,1,,640d Gran,640d Gran,,,,,
114,BMW,7 Series,730Ld,2,Sedan,730Ld,730Ld,,,,,
115,BMW,7 Series,730Ld DPE Signature,5,,730Ld DPE,730Ld DPE,,,,,
116,BMW,7 Series,730Ld M Sport,1,Sport,730Ld M,730Ld M,,,,,
117,BMW,7 Series,730Ld Sedan,2,Sedan,730Ld Sedan,730Ld Sedan,,,,,
118,BMW,7 Series,730d Sedan,1,Sedan,730d Sedan,730d Sedan,,,,,
119,BMW,7 Series,740Li DPE Signature,1,,740Li DPE,740Li DPE,,,,,
120,BMW,7 Series,740i [2023],1,,740i [2023],740i [2023],,,,,
121,BMW,M4 Competition,M xDrive Coupe [2022-2023],1,xDrive,M xDrive,M xDrive,,,,,
122,BMW,M5,Competition,1,,Competition,Competition,,,,,
123,BMW,X1,sDrive18d M Sport,2,sDrive,sDrive18d M,sDrive18d M,,,,,
124,BMW,X1,sDrive20d Expedition,8,sDrive,sDrive20d Expedition,sDrive20d Expedition,,,,,
125,BMW,X1,sDrive20d M Sport,1,sDrive,sDrive20d M,sDrive20d M,,,,,
126,BMW,X1,sDrive20d xLine,10,sDrive,sDrive20d xLine,sDrive20d xLine,,,,,
127,BMW,X1,sDrive20i Tech Edition,1,sDrive,sDrive20i Tech,sDrive20i Tech,,,,,
128,BMW,X1,sDrive20i xLine,3,sDrive,sDrive20i xLine,sDrive20i xLine,,,,,
129,BMW,X1,xDrive20d M Sport,3,xDrive Sport,xDrive20d M,xDrive20d M,,,,,
130,BMW,X1,xDrive20d xLine,2,xDrive,xDrive20d xLine,xDrive20d xLine,,,,,
131,BMW,X3,xDrive 20d Expedition,3,xDrive,xDrive 20d,xDrive 20d,,,,,
132,BMW,X3,xDrive 20d Luxury Line [2018-2020],14,xDrive Luxury,xDrive 20d,xDrive 20d,,,,,
133,BMW,X3,xDrive 30d M Sport [2015-2017],2,xDrive Sport,xDrive 30d,xDrive 30d,,,,,
134,BMW,X3,xDrive 30i Luxury Line,1,xDrive Luxury,xDrive 30i,xDrive 30i,,,,,
135,BMW,X3,xDrive-20d xLine,1,xDrive,xDrive-20d xLine,xDrive-20d xLine,,,,,
136,BMW,X3,xDrive20d,1,xDrive,xDrive20d,xDrive20d,,,,,
137,BMW,X3,xDrive20d Luxury Edition [2022-2023],1,xDrive Luxury,xDrive20d Luxury,xDrive20d Luxury,,,,,
138,BMW,X4,xDrive20d M Sport X [2019-2020],1,xDrive Sport,xDrive20d M,xDrive20d M,,,,,
139,BMW,X5,SAV 3.0d,1,,SAV 3.0d,SAV 3.0d,,,,,
140,BMW,X5,xDrive 30d,9,xDrive,xDrive 30d,xDrive 30d,,,,,
141,BMW,X5,xDrive 30d Expedition,2,xDrive,xDrive 30d,xDrive 30d,,,,,
142,BMW,X5,xDrive 30d M Sport,3,xDrive Sport,xDrive 30d,xDrive 30d,,,,,
