srno,make,model,variant,n,new_variant,FORMULA,Column1,,,2158,1095,871
282,Ford,New Figo,TITANIUM PLUS 1.2 PETROL AT,1,,TITANIUM PLUS,TITANIUM PLUS,,,,,
283,Honda,Accord,2.4 AT,1,,2.4 AT,2.4 AT,,,,,
284,Honda,All New City,V CVT Petrol,1,,V CVT,V CVT,,,,,
285,Honda,All New City,V Petrol,1,,V Petrol,V Petrol,,,,,
286,Honda,All New City,ZX CVT Petrol,3,,ZX CVT,ZX CVT,,,,,
287,Honda,All New City,ZX Petrol,2,,ZX Petrol,ZX Petrol,,,,,
288,Honda,Amaze,1.2 E i-VTEC,2,,1.2 E,1.2 E,,,,,
289,Honda,Amaze,1.2 S AT i-VTEC,2,,1.2 S,1.2 S,,,,,
290,Honda,Amaze,1.2 S CVT Petrol [2018-2020],4,,1.2 S,1.2 S,,,,,
291,Honda,Amaze,1.2 S MT Petrol [2018-2020],3,,1.2 S,1.2 S,,,,,
292,Honda,Amaze,1.2 S i-VTEC,18,,1.2 S,1.2 S,,,,,
293,Honda,Amaze,1.2 SX i-VTEC,2,,1.2 SX,1.2 SX,,,,,
294,Honda,Amaze,1.2 V CVT Petrol [2018-2020],4,,1.2 V,1.2 V,,,,,
295,Honda,Amaze,1.2 V MT Petrol [2018-2020],2,,1.2 V,1.2 V,,,,,
296,Honda,Amaze,1.2 VX CVT Petrol [2019-2020],3,,1.2 VX,1.2 VX,,,,,
297,Honda,Amaze,1.2 VX MT Petrol [2018-2020],2,,1.2 VX,1.2 VX,,,,,
298,Honda,Amaze,1.2 VX i-VTEC,3,,1.2 VX,1.2 VX,,,,,
299,Honda,Amaze,1.2L I-VTEC E,3,,1.2L I-VTEC,1.2L I-VTEC,,,,,
300,Honda,Amaze,1.2L I-VTEC EX,1,,1.2L I-VTEC,1.2L I-VTEC,,,,,
301,Honda,Amaze,1.2L I-VTEC S,52,,1.2L I-VTEC,1.2L I-VTEC,,,,,
302,Honda,Amaze,1.2L I-VTEC S AT,1,,1.2L I-VTEC,1.2L I-VTEC,,,,,
303,Honda,Amaze,1.2L I-VTEC S CVT,7,,1.2L I-VTEC,1.2L I-VTEC,,,,,
304,Honda,Amaze,1.2L I-VTEC S OPT,1,,1.2L I-VTEC,1.2L I-VTEC,,,,,
305,Honda,Amaze,1.2L I-VTEC SX,9,,1.2L I-VTEC,1.2L I-VTEC,,,,,
306,Honda,Amaze,1.2L I-VTEC V,7,,1.2L I-VTEC,1.2L I-VTEC,,,,,
307,Honda,Amaze,1.2L I-VTEC V CVT,10,,1.2L I-VTEC,1.2L I-VTEC,,,,,
308,Honda,Amaze,1.2L I-VTEC VX,26,,1.2L I-VTEC,1.2L I-VTEC,,,,,
309,Honda,Amaze,1.2L I-VTEC VX AT,1,,1.2L I-VTEC,1.2L I-VTEC,,,,,
310,Honda,Amaze,1.2L I-VTEC VX CVT,14,,1.2L I-VTEC,1.2L I-VTEC,,,,,
311,Honda,Amaze,1.5 E i-DTEC,1,,1.5 E,1.5 E,,,,,
312,Honda,Amaze,1.5 EX i-DTEC,1,,1.5 EX,1.5 EX,,,,,
313,Honda,Amaze,1.5 S CVT Diesel [2018-2020],1,,1.5 S,1.5 S,,,,,
314,Honda,Amaze,1.5 S i-DTEC,4,,1.5 S,1.5 S,,,,,
315,Honda,Amaze,1.5 SX i-DTEC,1,,1.5 SX,1.5 SX,,,,,
316,Honda,Amaze,1.5 V CVT Diesel,6,,1.5 V,1.5 V,,,,,
317,Honda,Amaze,1.5 VX i-DTEC,1,,1.5 VX,1.5 VX,,,,,
318,Honda,Amaze,1.5L I-DTEC E,4,,1.5L I-DTEC,1.5L I-DTEC,,,,,
319,Honda,Amaze,1.5L I-DTEC EX,1,,1.5L I-DTEC,1.5L I-DTEC,,,,,
320,Honda,Amaze,1.5L I-DTEC S,4,,1.5L I-DTEC,1.5L I-DTEC,,,,,
321,Honda,Amaze,1.5L I-DTEC S CVT,1,,1.5L I-DTEC,1.5L I-DTEC,,,,,
322,Honda,Amaze,1.5L I-DTEC S OPT,2,,1.5L I-DTEC,1.5L I-DTEC,,,,,
323,Honda,Amaze,1.5L I-DTEC V,2,,1.5L I-DTEC,1.5L I-DTEC,,,,,
324,Honda,Amaze,1.5L I-DTEC V CVT,4,,1.5L I-DTEC,1.5L I-DTEC,,,,,
325,Honda,Amaze,1.5L I-DTEC VX,2,,1.5L I-DTEC,1.5L I-DTEC,,,,,
326,Honda,Amaze,VX CVT 1.2 Petrol [2021],3,,VX CVT,VX CVT,,,,,
327,Honda,BR-V,1.5L I- DTEC VX,1,,1.5L I-,1.5L I-,,,,,
328,Honda,BR-V,1.5L I-VTEC S,3,,1.5L I-VTEC,1.5L I-VTEC,,,,,
329,Honda,BR-V,1.5L I-VTEC V,1,,1.5L I-VTEC,1.5L I-VTEC,,,,,
330,Honda,BR-V,1.5L I-VTEC V CVT,2,,1.5L I-VTEC,1.5L I-VTEC,,,,,
331,Honda,BR-V,1.5L I-VTEC VX,1,,1.5L I-VTEC,1.5L I-VTEC,,,,,
332,Honda,Brio,E MT,1,,E MT,E MT,,,,,
333,Honda,Brio,EX MT,1,,EX MT,EX MT,,,,,
334,Honda,Brio,S (O)MT,1,,S (O)MT,S (O)MT,,,,,
335,Honda,Brio,S MT,32,,S MT,S MT,,,,,
336,Honda,Brio,S(O) MT,5,,S(O) MT,S(O) MT,,,,,
337,Honda,Brio,S(O)MT,1,,S(O)MT,S(O)MT,,,,,
338,Honda,Brio,V MT,6,,V MT,V MT,,,,,
339,Honda,Brio,VX AT,11,,VX AT,VX AT,,,,,
340,Honda,Brio,VX MT,3,,VX MT,VX MT,,,,,
341,Honda,CR-V,2.0L 2WD AT,2,,2.0L 2WD,2.0L 2WD,,,,,
342,Honda,City,1.5 E MT,1,,1.5 E,1.5 E,,,,,
343,Honda,City,1.5 S AT,1,,1.5 S,1.5 S,,,,,
344,Honda,City,1.5 S MT,13,,1.5 S,1.5 S,,,,,
345,Honda,City,1.5 V MT,10,,1.5 V,1.5 V,,,,,
346,Honda,City,1.5L I-DTEC E,1,,1.5L I-DTEC,1.5L I-DTEC,,,,,
347,Honda,City,1.5L I-DTEC SV,1,,1.5L I-DTEC,1.5L I-DTEC,,,,,
348,Honda,City,1.5L I-DTEC V,3,,1.5L I-DTEC,1.5L I-DTEC,,,,,
349,Honda,City,1.5L I-DTEC ZX,1,,1.5L I-DTEC,1.5L I-DTEC,,,,,
350,Honda,City,1.5L I-VTE V CVT,14,,1.5L I-VTE,1.5L I-VTE,,,,,
351,Honda,City,1.5L I-VTEC CORPORATE MT,1,,1.5L I-VTEC,1.5L I-VTEC,,,,,
352,Honda,City,1.5L I-VTEC E MT,2,,1.5L I-VTEC,1.5L I-VTEC,,,,,
353,Honda,City,1.5L I-VTEC S AT,1,,1.5L I-VTEC,1.5L I-VTEC,,,,,
354,Honda,City,1.5L I-VTEC S MT,20,,1.5L I-VTEC,1.5L I-VTEC,,,,,
355,Honda,City,1.5L I-VTEC SV,17,,1.5L I-VTEC,1.5L I-VTEC,,,,,
356,Honda,City,1.5L I-VTEC SV CVT,11,,1.5L I-VTEC,1.5L I-VTEC,,,,,
357,Honda,City,1.5L I-VTEC SV EDGE EDITION,1,,1.5L I-VTEC,1.5L I-VTEC,,,,,
358,Honda,City,1.5L I-VTEC V AT,3,,1.5L I-VTEC,1.5L I-VTEC,,,,,
359,Honda,City,1.5L I-VTEC V MT,57,,1.5L I-VTEC,1.5L I-VTEC,,,,,
360,Honda,City,1.5L I-VTEC V MT 4TH GEN,3,,1.5L I-VTEC,1.5L I-VTEC,,,,,
361,Honda,City,1.5L I-VTEC V MT 5TH GEN,1,,1.5L I-VTEC,1.5L I-VTEC,,,,,
362,Honda,City,1.5L I-VTEC V MT SUNROOF,1,,1.5L I-VTEC,1.5L I-VTEC,,,,,
363,Honda,City,1.5L I-VTEC VX,37,,1.5L I-VTEC,1.5L I-VTEC,,,,,
364,Honda,City,1.5L I-VTEC VX CVT,34,,1.5L I-VTEC,1.5L I-VTEC,,,,,
365,Honda,City,1.5L I-VTEC ZX,18,,1.5L I-VTEC,1.5L I-VTEC,,,,,
366,Honda,City,1.5L I-VTEC ZX CVT,26,,1.5L I-VTEC,1.5L I-VTEC,,,,,
367,Honda,City,E Diesel,1,,E Diesel,E Diesel,,,,,
368,Honda,City,E [2013-2016],1,,E [2013-2016],E [2013-2016],,,,,
369,Honda,City,S,2,,S,S,,,,,
370,Honda,City,S Diesel,1,,S Diesel,S Diesel,,,,,
371,Honda,City,SV,10,,SV,SV,,,,,
372,Honda,City,SV CVT,4,,SV CVT,SV CVT,,,,,
373,Honda,City,SV Diesel,6,,SV Diesel,SV Diesel,,,,,
374,Honda,City,V,16,,V,V,,,,,
375,Honda,City,V Diesel,5,,V Diesel,V Diesel,,,,,
376,Honda,City,VX,9,,VX,VX,,,,,
377,Honda,City,VX (O) MT,1,,VX (O),VX (O),,,,,
378,Honda,City,VX (O) MT Diesel,1,,VX (O),VX (O),,,,,
379,Honda,City,VX CVT,18,,VX CVT,VX CVT,,,,,
380,Honda,City,VX Diesel,1,,VX Diesel,VX Diesel,,,,,
381,Honda,City,ZX Petrol CVT,2,,ZX Petrol,ZX Petrol,,,,,
382,Honda,City 4th Generation,Anniversary Edition Diesel,1,,Anniversary Edition,Anniversary Edition,,,,,
383,Honda,City 4th Generation,SV Petrol [2017-2019],3,,SV Petrol,SV Petrol,,,,,
384,Honda,City 4th Generation,SV Petrol [2019-2020],1,,SV Petrol,SV Petrol,,,,,
385,Honda,City 4th Generation,V CVT Petrol [2017-2019],6,,V CVT,V CVT,,,,,
386,Honda,City 4th Generation,V Petrol,3,,V Petrol,V Petrol,,,,,
387,Honda,City 4th Generation,V Petrol [2017-2019],10,,V Petrol,V Petrol,,,,,
388,Honda,City 4th Generation,V Petrol [2019-2020],1,,V Petrol,V Petrol,,,,,
389,Honda,City 4th Generation,VX CVT Petrol,2,,VX CVT,VX CVT,,,,,
390,Honda,City 4th Generation,VX CVT Petrol [2017-2019],2,,VX CVT,VX CVT,,,,,
391,Honda,City 4th Generation,VX Petrol,2,,VX Petrol,VX Petrol,,,,,
392,Honda,City 4th Generation,VX Petrol [2017-2019],2,,VX Petrol,VX Petrol,,,,,
393,Honda,City 4th Generation,ZX CVT Petrol,4,,ZX CVT,ZX CVT,,,,,
394,Honda,City 4th Generation,ZX CVT Petrol [2017-2019],13,,ZX CVT,ZX CVT,,,,,
395,Honda,City 4th Generation,ZX Petrol,4,,ZX Petrol,ZX Petrol,,,,,
396,Honda,City 4th Generation,ZX Petrol [2019-2019],6,,ZX Petrol,ZX Petrol,,,,,
397,Honda,City Hybrid eHEV,ZX eHEV,1,,ZX eHEV,ZX eHEV,,,,,
398,Honda,City ZX,GXi,1,,GXi,GXi,,,,,
399,Honda,Civic,1.6L I-DTEC ZX MT,1,,1.6L I-DTEC,1.6L I-DTEC,,,,,
400,Honda,Civic,1.8E MT,1,,1.8E MT,1.8E MT,,,,,
401,Honda,Civic,1.8L I-VTEC V CVT,2,,1.8L I-VTEC,1.8L I-VTEC,,,,,
402,Honda,Civic,1.8L I-VTEC ZX CVT,4,,1.8L I-VTEC,1.8L I-VTEC,,,,,
403,Honda,Civic,1.8V AT,1,,1.8V AT,1.8V AT,,,,,
404,Honda,Civic,1.8V MT Sunroof,1,,1.8V MT,1.8V MT,,,,,
405,Honda,Civic,VX CVT Petrol [2019-2020],4,,VX CVT,VX CVT,,,,,
406,Honda,Civic,VX Diesel [2019-2020],1,,VX Diesel,VX Diesel,,,,,
407,Honda,Civic,ZX CVT Petrol [2019-2020],2,,ZX CVT,ZX CVT,,,,,
408,Honda,Jazz,1.2 L I-VTEC SELECT,2,,1.2 L,1.2 L,,,,,
409,Honda,Jazz,1.2L I-VTEC BASE,1,,1.2L I-VTEC,1.2L I-VTEC,,,,,
410,Honda,Jazz,1.2L I-VTEC E,1,,1.2L I-VTEC,1.2L I-VTEC,,,,,
411,Honda,Jazz,1.2L I-VTEC S,2,,1.2L I-VTEC,1.2L I-VTEC,,,,,
412,Honda,Jazz,1.2L I-VTEC S AT,1,,1.2L I-VTEC,1.2L I-VTEC,,,,,
413,Honda,Jazz,1.2L I-VTEC SV,10,,1.2L I-VTEC,1.2L I-VTEC,,,,,
414,Honda,Jazz,1.2L I-VTEC V,23,,1.2L I-VTEC,1.2L I-VTEC,,,,,
415,Honda,Jazz,1.2L I-VTEC V AT,24,,1.2L I-VTEC,1.2L I-VTEC,,,,,
416,Honda,Jazz,1.2L I-VTEC V CVT,2,,1.2L I-VTEC,1.2L I-VTEC,,,,,
417,Honda,Jazz,1.2L I-VTEC VX,10,,1.2L I-VTEC,1.2L I-VTEC,,,,,
418,Honda,Jazz,1.2L I-VTEC VX AT,1,,1.2L I-VTEC,1.2L I-VTEC,,,,,
419,Honda,Jazz,1.2L I-VTEC VX CVT,5,,1.2L I-VTEC,1.2L I-VTEC,,,,,
420,Honda,Jazz,1.2L I-VTEC VX EXCLUSIVE EDITION CVT,1,,1.2L I-VTEC,1.2L I-VTEC,,,,,
421,Honda,Jazz,1.2L I-VTEC X,2,,1.2L I-VTEC,1.2L I-VTEC,,,,,
422,Honda,Jazz,1.2L I-VTEC ZX,6,,1.2L I-VTEC,1.2L I-VTEC,,,,,
423,Honda,Jazz,1.2L I-VTEC ZX CVT,2,,1.2L I-VTEC,1.2L I-VTEC,,,,,
424,Honda,Jazz,1.5L I-DTEC VX,1,,1.5L I-DTEC,1.5L I-DTEC,,,,,
425,Honda,Jazz,Base Old,1,,Base Old,Base Old,,,,,
426,Honda,Jazz,S AT [2015-2016],1,,S AT,S AT,,,,,
427,Honda,Jazz,S Diesel,1,,S Diesel,S Diesel,,,,,
428,Honda,Jazz,S MT [2015-2016],2,,S MT,S MT,,,,,
429,Honda,Jazz,S Petrol,3,,S Petrol,S Petrol,,,,,
430,Honda,Jazz,SV Petrol,1,,SV Petrol,SV Petrol,,,,,
431,Honda,Jazz,Select Edition Old,1,,Select Edition,Select Edition,,,,,
432,Honda,Jazz,V AT Petrol,14,,V AT,V AT,,,,,
433,Honda,Jazz,V CVT Petrol,1,,V CVT,V CVT,,,,,
434,Honda,Jazz,V Petrol,14,,V Petrol,V Petrol,,,,,
435,Honda,Jazz,VX CVT Petrol,6,,VX CVT,VX CVT,,,,,
436,Honda,Jazz,VX Diesel,1,,VX Diesel,VX Diesel,,,,,
437,Honda,Jazz,VX Petrol,2,,VX Petrol,VX Petrol,,,,,
438,Honda,Jazz,X,1,,X,X,,,,,
439,Honda,Jazz,X Old,1,,X Old,X Old,,,,,
440,Honda,Jazz,ZX,3,,ZX,ZX,,,,,
441,Honda,Jazz,ZX CVT,2,,ZX CVT,ZX CVT,,,,,
442,Honda,Mobilio,S Petrol,3,,S Petrol,S Petrol,,,,,
443,Honda,WR-V,1.2L I-VTEC EDGE EDITION,1,,1.2L I-VTEC,1.2L I-VTEC,,,,,
444,Honda,WR-V,1.2L I-VTEC S MT,3,,1.2L I-VTEC,1.2L I-VTEC,,,,,
445,Honda,WR-V,1.2L I-VTEC SV MT,1,,1.2L I-VTEC,1.2L I-VTEC,,,,,
446,Honda,WR-V,1.2L I-VTEC VX MT,37,,1.2L I-VTEC,1.2L I-VTEC,,,,,
447,Honda,WR-V,1.5L I-DTEC SV MT,1,,1.5L I-DTEC,1.5L I-DTEC,,,,,
448,Honda,WR-V,1.5L I-DTEC VX MT,11,,1.5L I-DTEC,1.5L I-DTEC,,,,,
449,Honda,WR-V,Edge Edition Petrol [2018-2019],1,,Edge Edition,Edge Edition,,,,,
450,Honda,WR-V,Exclusive Edition Petrol,1,,Exclusive Edition,Exclusive Edition,,,,,
451,Honda,WR-V,S MT Petrol,3,,S MT,S MT,,,,,
452,Honda,WR-V,SV MT Petrol,2,,SV MT,SV MT,,,,,
453,Honda,WR-V,VX MT Diesel,8,,VX MT,VX MT,,,,,
454,Honda,WR-V,VX MT Petrol,24,,VX MT,VX MT,,,,,
621,Hyundai,Genesis,3.8,1,,3.8,3.8,,,,,
605,Hyundai,Eon,1.0 Kappa Magna (O) AirBag,1,,1.0 Kappa,1.0 Kappa,,,,,
606,Hyundai,Eon,1.0 Kappa Magna + [2014-2016],7,,1.0 Kappa,1.0 Kappa,,,,,
623,Hyundai,Getz Prime,1.1 GVS,1,,1.1 GVS,1.1 GVS,,,,,
846,Hyundai,i10,1.1L iRDE ERA Special Edition,1,,1.1L iRDE,1.1L iRDE,,,,,
847,Hyundai,i10,1.1L iRDE Magna Special Edition,14,,1.1L iRDE,1.1L iRDE,,,,,
898,Hyundai,i20 Active,1.2 Base,3,,1.2 Base,1.2 Base,,,,,
899,Hyundai,i20 Active,1.2 S,6,,1.2 S,1.2 S,,,,,
900,Hyundai,i20 Active,1.2 SX,18,,1.2 SX,1.2 SX,,,,,
476,Hyundai,Creta,1.4 Base [2015-2016],1,,1.4 Base,1.4 Base,,,,,
776,Hyundai,Verna,1.4 EX PETROL,4,,1.4 EX,1.4 EX,,,,,
477,Hyundai,Creta,1.4 S,4,,1.4 S,1.4 S,,,,,
478,Hyundai,Creta,1.4 S Plus,1,,1.4 S,1.4 S,,,,,
901,Hyundai,i20 Active,1.4 SX,5,,1.4 SX,1.4 SX,,,,,
777,Hyundai,Verna,1.4 VTVT,1,,1.4 VTVT,1.4 VTVT,,,,,
456,Hyundai,Alcazar,1.5 SIGNATURE (O) AT 6STR,1,,1.5 SIGNATURE,1.5 SIGNATURE,,,,,
479,Hyundai,Creta,1.6 Base Petrol,1,,1.6 Base,1.6 Base,,,,,
480,Hyundai,Creta,1.6 CRDI SX PLUS AUTO,1,,1.6 CRDI,1.6 CRDI,,,,,
778,Hyundai,Verna,1.6 CRDI SX,7,,1.6 CRDI,1.6 CRDI,,,,,
779,Hyundai,Verna,1.6 CRDI SX (O),5,,1.6 CRDI,1.6 CRDI,,,,,
780,Hyundai,Verna,1.6 CRDI SX (O) AT,1,,1.6 CRDI,1.6 CRDI,,,,,
481,Hyundai,Creta,1.6 E Petrol,1,,1.6 E,1.6 E,,,,,
781,Hyundai,Verna,1.6 EX CRDI,1,,1.6 EX,1.6 EX,,,,,
482,Hyundai,Creta,1.6 S Petrol,2,,1.6 S,1.6 S,,,,,
483,Hyundai,Creta,1.6 SX,11,,1.6 SX,1.6 SX,,,,,
484,Hyundai,Creta,1.6 SX (O),1,,1.6 SX,1.6 SX,,,,,
485,Hyundai,Creta,1.6 SX Plus,2,,1.6 SX,1.6 SX,,,,,
486,Hyundai,Creta,1.6 SX Plus AT,5,,1.6 SX,1.6 SX,,,,,
487,Hyundai,Creta,1.6 SX Plus AT Petrol,12,,1.6 SX,1.6 SX,,,,,
488,Hyundai,Creta,1.6 SX Plus Petrol,31,,1.6 SX,1.6 SX,,,,,
489,Hyundai,Creta,1.6 SX Plus Special Edition,2,,1.6 SX,1.6 SX,,,,,
559,Hyundai,Elantra,1.6 SX (O),2,,1.6 SX,1.6 SX,,,,,
560,Hyundai,Elantra,1.6 SX (O) AT,1,,1.6 SX,1.6 SX,,,,,
561,Hyundai,Elantra,1.6 SX MT,1,,1.6 SX,1.6 SX,,,,,
711,Hyundai,New Elantra,1.6 SX (O) AT DIESEL,1,,1.6 SX,1.6 SX,,,,,
782,Hyundai,Verna,1.6 SX (O) CRDI MT,2,,1.6 SX,1.6 SX,,,,,
620,Hyundai,Fluidic Verna 4S,1.6 VTVT SX,1,,1.6 VTVT,1.6 VTVT,,,,,
783,Hyundai,Verna,1.6 VTVT S,2,,1.6 VTVT,1.6 VTVT,,,,,
784,Hyundai,Verna,1.6 VTVT S AT,1,,1.6 VTVT,1.6 VTVT,,,,,
785,Hyundai,Verna,1.6 VTVT SX,31,,1.6 VTVT,1.6 VTVT,,,,,
786,Hyundai,Verna,1.6 VTVT SX (O) AT,7,,1.6 VTVT,1.6 VTVT,,,,,
787,Hyundai,Verna,1.6 VTVT SX + AT,1,,1.6 VTVT,1.6 VTVT,,,,,
788,Hyundai,Verna,1.6 VTVT SX AT,2,,1.6 VTVT,1.6 VTVT,,,,,
789,Hyundai,Verna,1.6 VTVT SX O,6,,1.6 VTVT,1.6 VTVT,,,,,
562,Hyundai,Elantra,1.8 SX MT,1,,1.8 SX,1.8 SX,,,,,
712,Hyundai,New Elantra,2.0 S PETROL,2,,2.0 S,2.0 S,,,,,
457,Hyundai,Alcazar,2.0 SIGNATURE (O) AT 7STR,1,,2.0 SIGNATURE,2.0 SIGNATURE,,,,,
563,Hyundai,Elantra,2.0 SX (O),1,,2.0 SX,2.0 SX,,,,,
564,Hyundai,Elantra,2.0 SX (O) AT,1,,2.0 SX,2.0 SX,,,,,
565,Hyundai,Elantra,2.0 SX MT,3,,2.0 SX,2.0 SX,,,,,
713,Hyundai,New Elantra,2.0 SX AT PETROL,1,,2.0 SX,2.0 SX,,,,,
714,Hyundai,New Elantra,2.0 SX MT PETROL,1,,2.0 SX,2.0 SX,,,,,
715,Hyundai,New Elantra,2.0 SX(O) AT PETROL,5,,2.0 SX(O),2.0 SX(O),,,,,
734,Hyundai,Sonata,2.4 GDi AT,1,,2.4 GDi,2.4 GDi,,,,,
716,Hyundai,Santa Fe,2WD AT [2014-2017],2,,2WD AT,2WD AT,,,,,
735,Hyundai,Tucson,2WD AT GLS Diesel,1,,2WD AT,2WD AT,,,,,
736,Hyundai,Tucson,2WD MT PETROL,2,,2WD MT,2WD MT,,,,,
737,Hyundai,Tucson,2WD MT Petrol,1,,2WD MT,2WD MT,,,,,
717,Hyundai,Santa Fe,4 WD (AT),1,,4 WD,4 WD,,,,,
568,Hyundai,Elite i20,ASTA (O) CVT,4,,ASTA (O),Asta,,,,,
624,Hyundai,Grand i10,ASTA (O) 1.2 KAPPA VTVT,16,,ASTA (O),Asta,,,,,
625,Hyundai,Grand i10,ASTA (O) AT 1.2 KAPPA VTVT,2,,ASTA (O),Asta,,,,,
870,Hyundai,i20,Asta (O) 1.0 Turbo DCT [2020-2023],3,,Asta (O),Asta,,,,,
871,Hyundai,i20,Asta (O) 1.2 MT [2020-2023],4,,Asta (O),Asta,,,,,
681,Hyundai,NEW I20,ASTA (O) 1.0 TURBO GDI DCT,2,,ASTA (O),Asta,,,,,
682,Hyundai,NEW I20,ASTA (O) 1.2 AT,2,,ASTA (O),Asta,,,,,
683,Hyundai,NEW I20,ASTA (O) 1.2 MT,4,,ASTA (O),Asta,,,,,
684,Hyundai,NEW I20,ASTA (O) 1.5 CRDI MT,2,,ASTA (O),Asta,,,,,
718,Hyundai,Santro,Asta [2018-2020],1,,Asta [2018-2020],Asta,,,,,
872,Hyundai,i20,Asta 1.0 Turbo IMT,4,,Asta 1.0,Asta,,,,,
685,Hyundai,NEW I20,ASTA 1.0 TURBO IMT DUAL TONE,1,,ASTA 1.0,Asta,,,,,
689,Hyundai,NEW I20,Asta 1.0 GDI Turbo IMT,6,,Asta 1.0,Asta,,,,,
626,Hyundai,Grand i10,ASTA 1.1 CRDI,1,,ASTA 1.1,Asta,,,,,
569,Hyundai,Elite i20,ASTA 1.2,36,,ASTA 1.2,Asta,,,,,
570,Hyundai,Elite i20,ASTA 1.2  CVT,2,,ASTA 1.2,Asta,,,,,
571,Hyundai,Elite i20,ASTA 1.2 (O),34,,ASTA 1.2,Asta,,,,,
572,Hyundai,Elite i20,ASTA 1.2 DUAL TONE,1,,ASTA 1.2,Asta,,,,,
575,Hyundai,Elite i20,Asta 1.2,8,,Asta 1.2,Asta,,,,,
576,Hyundai,Elite i20,Asta 1.2 (O),1,,Asta 1.2,Asta,,,,,
577,Hyundai,Elite i20,Asta 1.2 (O) CVT [2019-2020],3,,Asta 1.2,Asta,,,,,
578,Hyundai,Elite i20,Asta 1.2 (O) [2016],5,,Asta 1.2,Asta,,,,,
579,Hyundai,Elite i20,Asta 1.2 (O) [2019-2020],7,,Asta 1.2,Asta,,,,,
580,Hyundai,Elite i20,Asta 1.2 AT,1,,Asta 1.2,Asta,,,,,
627,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,41,,ASTA 1.2,Asta,,,,,
629,Hyundai,Grand i10,Asta 1.2 Kappa VTVT,1,,Asta 1.2,Asta,,,,,
630,Hyundai,Grand i10,Asta 1.2 Kappa VTVT (O) [2013-2017],3,,Asta 1.2,Asta,,,,,
631,Hyundai,Grand i10,Asta 1.2 Kappa VTVT [2013-2016],11,,Asta 1.2,Asta,,,,,
661,Hyundai,Grand i10 Nios,ASTA 1.2 KAPPA VTVT,11,,ASTA 1.2,Asta,,,,,
663,Hyundai,Grand i10 Nios,Asta 1.2 Kappa VTVT,2,,Asta 1.2,Asta,,,,,
848,Hyundai,i10,ASTA 1.2,2,,ASTA 1.2,Asta,,,,,
868,Hyundai,i20,ASTA 1.2,10,,ASTA 1.2,Asta,,,,,
873,Hyundai,i20,Asta 1.2,2,,Asta 1.2,Asta,,,,,
874,Hyundai,i20,Asta 1.2 MT [2020-2023],1,,Asta 1.2,Asta,,,,,
686,Hyundai,NEW I20,ASTA 1.2 AT,1,,ASTA 1.2,Asta,,,,,
687,Hyundai,NEW I20,ASTA 1.2 MT,1,,ASTA 1.2,Asta,,,,,
573,Hyundai,Elite i20,ASTA 1.4 CRDI,5,,ASTA 1.4,Asta,,,,,
574,Hyundai,Elite i20,ASTA 1.4 CRDI (O),11,,ASTA 1.4,Asta,,,,,
581,Hyundai,Elite i20,Asta 1.4 (O) CRDi,5,,Asta 1.4,Asta,,,,,
582,Hyundai,Elite i20,Asta 1.4 CRDi,3,,Asta 1.4,Asta,,,,,
869,Hyundai,i20,ASTA 1.4 CRDI,2,,ASTA 1.4,Asta,,,,,
875,Hyundai,i20,Asta 1.4 CRDI with AVN 6 Speed,1,,Asta 1.4,Asta,,,,,
662,Hyundai,Grand i10 Nios,ASTA AMT 1.2 KAPPA VTVT,8,,ASTA AMT,Asta,,,,,
664,Hyundai,Grand i10 Nios,Asta AMT 1.2 Kappa VTVT,1,,Asta AMT,Asta,,,,,
700,Hyundai,NEW SANTRO,ASTA AMT,1,,ASTA AMT,Asta,,,,,
628,Hyundai,Grand i10,ASTA AT 1.2 KAPPA VTVT,27,,ASTA AT,Asta,,,,,
632,Hyundai,Grand i10,Asta AT 1.2 Kappa VTVT (O) [2016-2017],2,,Asta AT,Asta,,,,,
633,Hyundai,Grand i10,Asta AT 1.2 Kappa VTVT [2013-2016],4,,Asta AT,Asta,,,,,
701,Hyundai,NEW SANTRO,ASTA MT,2,,ASTA MT,Asta,,,,,
688,Hyundai,NEW I20,ASTA(O) 1.0TURBO DCT DUAL TONE,1,,ASTA(O) 1.0TURBO,Asta,,,,,
832,Hyundai,Xcent,BASE 1.2,1,,BASE 1.2,Base,,,,,
833,Hyundai,Xcent,Base 1.2,2,,Base 1.2,Base,,,,,
490,Hyundai,Creta,BASE 1.4 DIESEL,1,,BASE 1.4,Base,,,,,
491,Hyundai,Creta,BASE 1.6 PETROL,4,,BASE 1.6,Base,,,,,
455,Hyundai,Accent,CNG,1,,CNG,CNG,,,,,
608,Hyundai,Eon,D-Lite +,2,,D-Lite +,D-Lite +,,,,,
849,Hyundai,i10,D-Lite 1.1 iRDE2,1,,D-Lite 1.1,D-Lite 1.1,,,,,
607,Hyundai,Eon,D-LITE+,4,,D-LITE+,D-LITE+,,,,,
740,Hyundai,Venue,E 1.2 Petrol [2019-2020],1,,E 1.2,E,,,,,
790,Hyundai,Verna,E 1.4 VTVT,1,,E 1.4,E,,,,,
492,Hyundai,Creta,E 1.5 Diesel [2020-2022],1,,E 1.5,E,,,,,
493,Hyundai,Creta,E 1.6 PETROL,1,,E 1.6,E,,,,,
834,Hyundai,Xcent,E CRDi,1,,E CRDi,E,,,,,
