make,model,variant,year,transmission,bodyType,fuelType,ownerNumber,odometerReading,cityRto,listingPrice,fitnessUpto,insuranceType,duplicateKey,city,registrationYear,registrationMonth,websiteUrl
Hyundai,Venue [2019-2022],SX Plus 1.0 Turbo DCT,2019,"Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift",Compact SUV,Petrol,First,"31,927",WB02AP6361,853000,MISSING,,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/hyundai-venue-cars-in-kolkata/e9bdc70d46a64f4282afdee025bf498d/
BMW,6 Series GT [2018-2021],620d Luxury Line,2019,"Automatic (TC) - 8 Gears, Manual Override, Sport Mode",Sedan,Diesel,First,"33,500",,3492000,MISSING,,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/bmw-6-series-gt-cars-in-kolkata/yy5f8wp4/
Renault,Duster [2015-2016],110 PS RxZ AWD,2018,Manual - 6 Gears,SUV,Diesel,First,"72,363",WB18AA4222,709000,MISSING,,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/renault-duster-cars-in-kolkata/f61378ffb1d84377801583524a4758a8/
MG,Hector Plus [2020-2023],Sharp Hybrid 1.5 Petrol,2021,Manual - 6 Gears,SUV,Petrol,First,"17,000",WB02XXXX,1375000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/mg-hector-plus-cars-in-kolkata/z5lnmsy9/
Mercedes-Benz,CLA,200 Urban Sport,2019,"Automatic - 7 Gears, Paddle Shift, Sport Mode",Sedan,Petrol,First,"41,700",WB02XXXX,2150000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/mercedes-benz-cla-cars-in-kolkata/4r58cwm0/
BMW,X4 [2019-2022],xDrive20d M Sport X [2019-2020],2019,"Automatic - 8 Gears, Manual Override, Sport Mode",SUV,Diesel,First,"15,000",WB02XXXX,4500000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/bmw-x4-cars-in-kolkata/hkjst7xq/
Mercedes-Benz,C-Class [2014-2018],C 220 CDI Avantgarde,2016,"Automatic - 7 Gears, Paddle Shift, Sport Mode",Sedan,Diesel,Second,"24,000",WB02XXXX,2100000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/mercedes-benz-c-class-cars-in-kolkata/0tasgnv4/
BMW,6 Series GT [2018-2021],620d Luxury Line [2019-2019],2020,"Automatic - 8 Gears, Manual Override, Sport Mode",Sedan,Diesel,First,"26,000",WB02XXXX,4000000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/bmw-6-series-gt-cars-in-kolkata/j7woxrym/
Land Rover,Discovery Sport [2015-2017],HSE Luxury 7-Seater,2016,"Automatic - 9 Gears, Sport Mode",SUV,Diesel,First,"48,000",WB02XXXX,2350000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/land-rover-discovery-sport-cars-in-kolkata/1uamp4an/
Audi,Q3 [2012-2015],2.0 TDI quattro Premium,2013,"Automatic - 7 Gears, Sport Mode",SUV,Diesel,Second,"58,000",WB02XXXX,875000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/audi-q3-cars-in-kolkata/8ya89enb/
Jaguar,XF,Prestige Diesel CBU,2016,"Automatic - 8 Gears, Paddle Shift, Sport Mode",Sedan,Diesel,First,"38,000",WB02XXXX,2250000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/jaguar-xf-cars-in-kolkata/qhn5gmc6/
Ford,Endeavour,Titanium Plus 2.0 4x2 AT,2020,"Automatic (TC) - 10 Gears, Manual Override, Sport Mode",SUV,Diesel,Second,"60,000",WB02XXXX,3050000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/ford-endeavour-cars-in-kolkata/gxqt06vy/
Mercedes-Benz,B-Class,B 200 Sport CDI,2015,"Automatic - 7 Gears, Paddle Shift, Sport Mode",Hatchback,Diesel,First,"53,000",WB02XXXX,1075000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/mercedes-benz-b-class-cars-in-kolkata/3jys7p99/
Mercedes-Benz,GLE [2015-2020],250 d,2018,"Automatic - 9 Gears, Paddle Shift, Sport Mode",SUV,Diesel,First,"47,000",WB02XXXX,3400000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/mercedes-benz-gle-cars-in-kolkata/kag2n4jl/
Hyundai,Creta [2020-2023],SX 1.5 Petrol [2020-2022],2022,Manual - 6 Gears,SUV,Petrol,First,"34,300",WB74BL0258,1295999,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/hyundai-creta-cars-in-kolkata/k8tnxmn5/
Hyundai,Creta [2020-2023],SX 1.5 Petrol CVT [2020-2022],2023,"Automatic (CVT) - CVT Gears, Manual Override & Paddle Shift, Sport Mode",SUV,Petrol,First,"35,250",WB24BA3788,1365999,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/hyundai-creta-cars-in-kolkata/cpa64e10/
Hyundai,Verna [2020-2023],SX (O)1.5 MPi,2023,Manual - 6 Gears,Sedan,Petrol,First,"12,600",WB12BM3927,1485999,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/hyundai-verna-cars-in-kolkata/5zxouz0c/
Audi,A8 L [2011-2014],3.0 TDI quattro,2011,Automatic - 8 Gears,Sedan,Diesel,First,"63,900",WB02XXXX,1150000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/audi-a8-cars-in-kolkata/af0f90gj/
Land Rover,Freelander 2 [2012-2013],SE TD4,2013,Not Available,Sedan,Not Available,Second,"35,000",WB02XXXX,1200000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/land-rover-freelander-cars-in-kolkata/cjxd6onw/
Honda,City 4th Generation,VX CVT Petrol,2019,"Automatic (CVT), Paddle Shift",Sedan,Petrol,First,"22,000",WB000000,725000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/honda-city-cars-in-kolkata/jbwj4nmf/
Audi,A4,Technology 40 TFSI [2021-2022],2021,"Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode",Sedan,Petrol,First,"13,000",WB02XXXX,3350000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/audi-a4-cars-in-kolkata/zxd9mx86/
Hyundai,Creta [2020-2023],SX 1.5 Petrol [2020-2022],2020,Manual - 6 Gears,SUV,Petrol,First,"41,000",WB000000,1125000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/hyundai-creta-cars-in-kolkata/zwtchk7g/
Audi,Q5 [2018-2020],35 TDI Premium Plus,2018,Automatic,SUV,Diesel,First,"46,839",WB02AN2299,3299000,MISSING,Expired,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/audi-q5-cars-in-kolkata/73b8a3a465504f1490512235d6c4f5a9/
Hyundai,Creta [2020-2023],SX 1.5 Petrol [2020-2022],2023,Manual - 6 Gears,SUV,Petrol,First,"15,000",WB000000,1400000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/hyundai-creta-cars-in-kolkata/xjtd6fum/
BMW,6 Series GT [2018-2021],620d Luxury Line [2019-2019],2019,"Automatic - 8 Gears, Manual Override, Sport Mode",Sedan,Diesel,First,"33,000",WB02AP7201,3499000,MISSING,Expired,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/bmw-6-series-gt-cars-in-kolkata/l1lo2wic/
Mahindra,Scorpio 2021,S9 2WD 7 STR,2022,Manual - 6 Gears,SUV,Diesel,First,"61,000",WB08M1665,1390000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/mahindra-scorpio-cars-in-kolkata/mxp0n5yj/
Hyundai,Creta [2017-2018],SX Plus 1.6 AT CRDI,2018,"Automatic - 6 Gears, Manual Override, Sport Mode",SUV,Diesel,First,"38,100",WB02AM5183,950000,MISSING,,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/hyundai-creta-cars-in-kolkata/kapwhfja/
Jeep,Compass [2017-2021],Limited (O) 1.4 Petrol AT [2017-2020],2018,Automatic - 7 Gears,SUV,Petrol,First,"45,000",WB02AM5778,1200000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/jeep-compass-cars-in-kolkata/9src0rbl/
Hyundai,Creta [2019-2020],SX 1.6 AT CRDi,2018,"Automatic - 6 Gears, Manual Override",SUV,Diesel,First,"53,000",WB02AN4822,990000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/hyundai-creta-cars-in-kolkata/3gdamzid/
Hyundai,Grand i10 [2013-2017],Sportz 1.2 Kappa VTVT [2013-2016],2015,Manual - 5 Gears,Hatchback,Petrol,First,"28,000",WB08A9190,350000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/hyundai-grand-i10-cars-in-kolkata/p2urb0lt/
Audi,Q5,Technology 45 TFSI,2022,"Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",SUV,Petrol,First,"10,000",WB02XXXX,4900000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/audi-q5-cars-in-kolkata/6tg6neti/
Audi,A6,Technology 45 TFSI,2020,"Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",Sedan,Petrol,First,"20,000",WB02XXXX,3800000,MISSING,Comprehensive,MISSING,Kolkata,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/audi-a6-cars-in-kolkata/oymme939/
Mercedes-Benz,GLA [2014-2017],200 CDI Sport,2015,"Automatic - 7 Gears, Paddle Shift, Sport Mode",MISSING,Diesel,First,"75,232",MH04XX0501,1695000,MISSING,Third Party,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/mercedes-benz-gla-cars-in-pune/5fuvkqug/
Honda,Amaze [2018-2021],1.2 S CVT Petrol [2018-2020],2019,Automatic (CVT),Compact Sedan,Petrol,First,"21,715",MH12RK6529,677000,MISSING,Comprehensive,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/honda-amaze-cars-in-pune/h92omhoq/
Toyota,Etios [2014-2016],GD,2019,Manual - 5 Gears,MISSING,Diesel,Second,"1,48,257",MH20EY9962,750000,MISSING,Comprehensive,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/toyota-etios-cars-in-pune/osocvfto/
Audi,Q7 [2015-2020],45 TDI Technology Pack,2018,"Automatic - 8 Gears, Manual Override & Paddle Shift, Sport Mode",SUV,Diesel,Second,"67,900",Mh14600,4270000,MISSING,Comprehensive,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/audi-q7-cars-in-pune/ef5zqzmn/
Volkswagen,Vento [2015-2019],Highline Diesel AT [2015-2016],2016,"Automatic - 7 Gears, Manual Override",Sedan,Diesel,Second,"90,300",Mh14fs6015,650000,MISSING,Comprehensive,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/volkswagen-vento-cars-in-pune/1azkipvl/
Hyundai,Verna [2017-2020],EX 1.4 VTVT,2019,Manual - 6 Gears,MISSING,Petrol,First,"22,877",MH14HQ9142,825000,MISSING,Comprehensive,MISSING,Pune,09/27/2019 00:00:00,MISSING,https://www.carwale.com/used/hyundai-verna-cars-in-pune/jforb8lm/
Maruti Suzuki,Dzire [2017-2020],VXi AMT,2018,AMT - 5 Gears,Compact Sedan,Petrol,First,"41,762",MH12QM9832,645000,MISSING,Expired,MISSING,Pune,08/02/2018 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-dzire-cars-in-pune/hit20vqq/
Honda,WR-V [2017-2020],VX MT Petrol,2019,Manual - 5 Gears,MISSING,Petrol,First,"60,736",MH12SE7037,790000,MISSING,,MISSING,Pune,12/11/2019 00:00:00,MISSING,https://www.carwale.com/used/honda-wr-v-cars-in-pune/vk155dno/
Maruti Suzuki,Dzire [2017-2020],VXi AMT,2018,AMT - 5 Gears,MISSING,Petrol,First,"37,712",MH12QY2742,755000,MISSING,Expired,MISSING,Pune,11/01/2018 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-dzire-cars-in-pune/fq3j6lkv/
Jeep,Compass [2017-2021],Limited (O) 1.4 Petrol AT [2017-2020],2018,Automatic - 7 Gears,SUV,Petrol,First,"26,429",MH47AG8686,1525000,MISSING,Comprehensive,MISSING,Pune,11/27/2018 00:00:00,MISSING,https://www.carwale.com/used/jeep-compass-cars-in-pune/memuw4zq/
Maruti Suzuki,Ertiga [2015-2018],VXI CNG,2021,Manual - 5 Gears,MISSING,CNG,First,"34,362",MH12TK5624,1080000,MISSING,Comprehensive,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-ertiga-cars-in-pune/wxbstpz3/
Toyota,Innova Crysta [2016-2020],2.4 GX 7 STR [2016-2020],2023,"Manual - 5 Gears, Sport Mode",MISSING,Diesel,First,"18,875",MH12VV4824,2350000,MISSING,,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/toyota-innova-crysta-cars-in-pune/kpodq92b/
Toyota,Innova Crysta [2016-2020],2.4 ZX 7 STR [2016-2020],2017,"Manual - 5 Gears, Sport Mode",SUV,Diesel,First,"67,000",MH12PC3056,1900000,MISSING,Third Party,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/toyota-innova-crysta-cars-in-pune/qrw3xf41/
Maruti Suzuki,Celerio [2017-2021],VXi CNG,2022,Manual - 5 Gears,MISSING,CNG,First,"59,661",MH12JU8641,630000,MISSING,Third Party,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-celerio-cars-in-pune/4za18vf5/
Maruti Suzuki,Wagon R 1.0 [2014-2019],VXI,2016,Manual - 5 Gears,Hatchback,Petrol,First,"71,000",MH14FM2174,380000,MISSING,Third Party,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-wagon-r-cars-in-pune/pi0762y1/
Mahindra,XUV500 [2011-2015],W8,2015,Manual - 6 Gears,SUV,Diesel,First,"61,000",MH12LV8837,835000,MISSING,Expired,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/mahindra-xuv500-cars-in-pune/2w4k7n0z/
Maruti Suzuki,Alto 800 [2012-2016],Lxi CNG,2014,Manual - 5 Gears,MISSING,CNG,First,"56,561",MH12KY4004,285000,MISSING,Third Party,MISSING,Pune,04/09/2014 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-alto-800-cars-in-pune/vlqtyfuq/
Hyundai,Grand i10 [2013-2017],Asta 1.2 Kappa VTVT [2013-2016],2015,Manual - 5 Gears,Hatchback,Petrol,First,"52,986",MH47XX3221,495000,MISSING,,MISSING,Pune,07/30/2015 00:00:00,MISSING,https://www.carwale.com/used/hyundai-i10-cars-in-pune/u6fc79yd/
Hyundai,i10 [2010-2017],Sportz 1.2 AT Kappa2,2012,Automatic - 4 Gears,MISSING,Petrol,First,"71,571",MH14DN9376,320000,MISSING,Expired,MISSING,Pune,11/11/2013 00:00:00,MISSING,https://www.carwale.com/used/hyundai-i10-cars-in-pune/7pi0vi83/
Maruti Suzuki,Wagon R 1.0 [2014-2019],LXI CNG (O),2020,Manual - 5 Gears,Hatchback,CNG,First,"22,971",MH12SQ0276,575000,MISSING,Expired,MISSING,Pune,03/13/2020 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-wagon-r-cars-in-pune/1uggvsat/
Maruti Suzuki,Celerio [2017-2021],ZXi (O) AMT [2019-2020],2019,"AMT - 5 Gears, Manual Override",MISSING,Petrol,First,"76,620",MH14HK9420,475000,MISSING,Expired,MISSING,Pune,05/14/2019 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-celerio-cars-in-pune/40e0wx0r/
Maruti Suzuki,Ertiga [2015-2018],VXI CNG,2018,Manual - 5 Gears,SUV,CNG,First,"58,000",MH12PZ1087,835000,MISSING,Expired,MISSING,Pune,01/12/2018 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-ertiga-cars-in-pune/si8pop5w/
Hyundai,i10 [2010-2017],Sportz 1.2 Kappa2,2014,Manual - 5 Gears,MISSING,Petrol,First,"59,343",MH12LG5892,335000,MISSING,Third Party,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/hyundai-i10-cars-in-pune/z6pplech/
Maruti Suzuki,Wagon R 1.0 [2014-2019],VXI+ AMT,2017,AMT - 5 Gears,MISSING,Petrol,First,"51,705",MH11CG0164,450000,MISSING,Third Party,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-wagon-r-cars-in-pune/gxq18xrk/
Hyundai,Creta [2018-2019],SX 1.6 CRDi (O),2019,Manual - 6 Gears,SUV,Diesel,First,"58,002",MH47XX0102,1495000,MISSING,,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/hyundai-creta-cars-in-pune/6kxo5xzw/
Tata,Tigor [2018-2020],Revotron XZA,2018,"AMT - 5 Gears, Sport Mode",Compact Sedan,Petrol,First,"15,940",MH04JB8308,650000,MISSING,Comprehensive,MISSING,Pune,02/16/2018 00:00:00,MISSING,https://www.carwale.com/used/tata-tigor-cars-in-pune/f47gujh8/
Kia,Sonet [2020-2022],HTK 1.2 [2020-2021],2021,Manual - 5 Gears,SUV,Petrol,First,"45,368",MH12TD6935,875000,MISSING,Expired,MISSING,Pune,02/18/2021 00:00:00,MISSING,https://www.carwale.com/used/kia-sonet-cars-in-pune/gdntys0q/
Maruti Suzuki,Celerio,ZXi Plus [2021-2023],2022,Manual - 5 Gears,MISSING,Petrol,First,"31,020",MH14JX2916,600000,MISSING,,MISSING,Pune,02/07/2022 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-celerio-cars-in-pune/oi0bht5a/
Hyundai,Elite i20 [2017-2018],Asta 1.2,2017,Manual - 5 Gears,MISSING,Petrol,First,"41,834",MH14GH3775,660000,MISSING,Third Party,MISSING,Pune,08/07/2017 00:00:00,MISSING,https://www.carwale.com/used/hyundai-elite-i20-cars-in-pune/xhg5swm7/
Maruti Suzuki,XL6 [2019-2022],Zeta MT Petrol,2020,Manual - 5 Gears,MISSING,Petrol,First,"24,435",MH14JH4796,1030000,MISSING,Third Party,MISSING,Pune,12/31/2020 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-xl6-cars-in-pune/48o8dwvs/
Kia,Sonet [2020-2022],GTX Plus 1.5 AT Dual Tone,2020,"Automatic (TC) - 6 Gears, Manual Override, Sport Mode",Compact SUV,Diesel,Second,"39,018",MH12SU9424,1200000,MISSING,Third Party,MISSING,Pune,11/05/2020 00:00:00,MISSING,https://www.carwale.com/used/kia-sonet-cars-in-pune/t31lebtb/
Jeep,Compass [2017-2021],Longitude (O) 2.0 Diesel [2017-2020],2017,Manual,SUV,Diesel,First,"86,489",MH12PH8465,1150000,MISSING,,MISSING,Pune,08/16/2017 00:00:00,MISSING,https://www.carwale.com/used/jeep-compass-cars-in-pune/nqbkkt6y/
Hyundai,Venue [2019-2022],S Plus 1.2 Petrol,2020,Manual - 5 Gears,Compact SUV,Petrol,First,"39,744",MH12SQ1105,900000,MISSING,Third Party,MISSING,Pune,03/20/2020 00:00:00,MISSING,https://www.carwale.com/used/hyundai-venue-cars-in-pune/ogcv9qw7/
Volkswagen,Tiguan,Elegance 2.0 TSI DSG [2021],2022,"Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",MISSING,Petrol,First,"63,209",MH14KB1703,2750000,MISSING,Comprehensive,MISSING,Pune,04/29/2022 00:00:00,MISSING,https://www.carwale.com/used/volkswagen-tiguan-cars-in-pune/o1t7e42i/
Skoda,Kushaq [2021-2023],Style 1.5L TSI DSG (6 Airbags),2022,"Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",MISSING,Petrol,First,"30,691",MH14KN2386,1750000,MISSING,Comprehensive,MISSING,Pune,11/05/2023 00:00:00,MISSING,https://www.carwale.com/used/skoda-kushaq-cars-in-pune/8qabucmv/
Skoda,Kushaq [2021-2023],Ambition 1.0L TSI AT,2021,"Automatic (TC) - 6 Gears, Manual Override & Paddle Shift, Sport Mode",MISSING,Petrol,First,"46,192",MH14JU5064,1195000,MISSING,,MISSING,Pune,11/24/2021 00:00:00,MISSING,https://www.carwale.com/used/skoda-kushaq-cars-in-pune/vxc6ogic/
Maruti Suzuki,Ciaz,Alpha Hybrid 1.5 AT [2018-2020],2020,Automatic - 4 Gears,MISSING,Petrol,First,"46,285",MH12SL7353,970000,MISSING,,MISSING,Pune,02/20/2020 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-ciaz-cars-in-pune/0g9wrm1p/
Volkswagen,Taigun [2021-2023],Topline 1.0 TSI AT,2021,"Automatic (TC) - 6 Gears, Paddle Shift, Sport Mode",MISSING,Petrol,First,"56,234",MH14JU5790,1450000,MISSING,Comprehensive,MISSING,Pune,11/30/2021 00:00:00,MISSING,https://www.carwale.com/used/volkswagen-taigun-cars-in-pune/8oigp6a5/
Maruti Suzuki,Baleno [2015-2019],Delta 1.3,2018,Manual - 5 Gears,Hatchback,Diesel,First,"53,390",MH14HD2916,725000,MISSING,Expired,MISSING,Pune,11/03/2018 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-baleno-cars-in-pune/aww4t1v9/
Maruti Suzuki,Dzire [2017-2020],VDi AMT,2018,AMT - 5 Gears,MISSING,Diesel,First,"84,245",MH14GS8626,790000,MISSING,Expired,MISSING,Pune,05/09/2018 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-dzire-cars-in-pune/ktj6spzp/
Honda,Jazz [2018-2020],VX CVT Petrol,2019,"Automatic (CVT), Paddle Shift, Sport Mode",Hatchback,Petrol,First,"18,978",MH12RY1042,825000,MISSING,Comprehensive,MISSING,Pune,08/23/2019 00:00:00,MISSING,https://www.carwale.com/used/honda-jazz-cars-in-pune/lrlc8s1w/
Ford,EcoSport [2017-2019],Titanium 1.5L TDCi,2017,Manual - 5 Gears,MISSING,Diesel,First,"98,175",MH12PC2736,725000,MISSING,Expired,MISSING,Pune,04/28/2017 00:00:00,MISSING,https://www.carwale.com/used/ford-ecosport-cars-in-pune/gw66tre5/
Mercedes-Benz,E-Class [2017-2021],E 200 Exclusive [2019-2019],2022,"Automatic - 9 Gears, Paddle Shift, Sport Mode",Sedan,Petrol,First,"26,189",MH01EB1696,6585000,MISSING,,MISSING,Pune,07/06/2022 00:00:00,MISSING,https://www.carwale.com/used/mercedes-benz-e-class-cars-in-pune/esis6c8k/
Mercedes-Benz,E-Class [2017-2021],E 200 Expression,2021,"Automatic (TC) - 9 Gears, Paddle Shift, Sport Mode",Sedan,Petrol,First,"23,051",MH01DT5654,6300000,MISSING,,MISSING,Pune,08/12/2021 00:00:00,MISSING,https://www.carwale.com/used/mercedes-benz-e-class-cars-in-pune/223xc1em/
Mercedes-Benz,S-Class [2014-2018],S 500,2013,"Automatic - 9 Gears, Paddle Shift",Sedan,Petrol,First,"36,879",MH02DJ0331,4785000,MISSING,Comprehensive,MISSING,Pune,02/06/2014 00:00:00,MISSING,https://www.carwale.com/used/mercedes-benz-s-class-cars-in-pune/ex0c6xgs/
Mercedes-Benz,E-Class [2017-2021],E 220d Expression [2019-2019],2019,"Automatic - 9 Gears, Paddle Shift, Sport Mode",Sedan,Diesel,First,"20,525",MH01DP1687,4985000,MISSING,,MISSING,Pune,08/18/2020 00:00:00,MISSING,https://www.carwale.com/used/mercedes-benz-e-class-cars-in-pune/5473aku0/
BMW,3 Series Gran Limousine [2021-2023],320Ld Luxury Line,2022,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",Sedan,Diesel,First,"23,107",MH02FU6610,5385000,MISSING,,MISSING,Pune,09/19/2022 00:00:00,MISSING,https://www.carwale.com/used/bmw-3-series-cars-in-pune/78ryqbn5/
Audi,A6 [2015-2019],35 TDI Matrix,2017,"Automatic - 7 Gears, Manual Override, Sport Mode",Sedan,Diesel,First,"54,758",MH04JB5745,2985000,MISSING,Comprehensive,MISSING,Pune,01/05/2018 00:00:00,MISSING,https://www.carwale.com/used/audi-a6-cars-in-pune/8djpi9pe/
Mercedes-Benz,GLC [2016-2019],300 Progressive,2016,Automatic - 9 Gears,SUV,Petrol,First,"35,389",MH01CT1655,3885000,MISSING,Comprehensive,MISSING,Pune,09/28/2017 00:00:00,MISSING,https://www.carwale.com/used/mercedes-benz-glc-cars-in-pune/0mcpqlqj/
Mercedes-Benz,GLS [2016-2020],350 d,2017,"Automatic - 9 Gears, Paddle Shift, Sport Mode",SUV,Diesel,First,"64,182",MH02EZ7488,6375000,MISSING,,MISSING,Pune,01/15/2019 00:00:00,MISSING,https://www.carwale.com/used/mercedes-benz-gls-cars-in-pune/4c9knwrg/
Toyota,Innova Crysta [2016-2020],2.4 VX 7 STR [2016-2020],2017,"Manual - 5 Gears, Sport Mode",SUV,Diesel,First,"86,693",MH12PC8977,1875000,MISSING,Expired,MISSING,Pune,05/09/2017 00:00:00,MISSING,https://www.carwale.com/used/toyota-innova-crysta-cars-in-pune/damawnip/
Honda,Jazz [2015-2018],V Petrol,2018,Manual - 5 Gears,MISSING,Petrol,First,"8,759",MH12QM2959,735000,MISSING,Expired,MISSING,Pune,06/16/2018 00:00:00,MISSING,https://www.carwale.com/used/honda-jazz-cars-in-pune/pjaf068o/
Volkswagen,Polo [2014-2015],Highline1.5L (D),2015,Manual - 5 Gears,Hatchback,Diesel,Second,"71,000",MH12MB8004,540000,MISSING,Expired,MISSING,Pune,08/04/2015 00:00:00,MISSING,https://www.carwale.com/used/volkswagen-polo-cars-in-pune/al3woxj5/
Tata,Tiago [2016-2020],Revotron XZA [2017-2019],2021,"AMT - 5 Gears, Sport Mode",Hatchback,Petrol,First,"25,243",MH12TY0876,587000,MISSING,,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/tata-tiago-cars-in-pune/gqrm3tfp/
Maruti Suzuki,Vitara Brezza [2016-2020],VDi,2016,Manual - 5 Gears,SUV,Diesel,First,"77,157",MH46AX1777,637000,MISSING,,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-vitara-brezza-cars-in-pune/z9ghtwrv/
Hyundai,Creta [2018-2019],SX 1.6 Petrol,2019,Manual - 6 Gears,SUV,Petrol,First,"69,869",MH12RT3004,987000,MISSING,,MISSING,Pune,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/hyundai-creta-cars-in-pune/1y1khybg/
